User story,Module,Section,Type d’utilisateur,Description / Objectif
"En tant que visiteur, je veux comprendre rapidement ce qu’est SEIDO afin de savoir si la solution correspond à mon besoin.",Landing Page,Hero,,"Compréhension rapide du produit :

Titre + slogan + description courte"
"En tant que visiteur, je veux pouvoir demander une démonstration afin de découvrir la solution plus en détail.",Landing Page,Hero,,"Conversion :  CTA bouton

Bouton “Demander une démo”"
"En tant que visiteur, je veux comprendre le problème que SEIDO résout afin de voir la valeur de la solution.",Landing Page,Présentation produit,,"Mise en contexte

Texte expliquant les difficultés de gestion immobilière"
"En tant que visiteur, je veux comprendre comment SEIDO simplifie la gestion immobilière afin de voir les bénéfices de la plateforme.",Landing Page,Solution,,"Présentation de la solution

Explication de la plateforme"
"En tant que visiteur, je veux découvrir les fonctionnalités principales afin de comprendre ce que la plateforme permet de faire.",Landing Page,Modules,,"Présentation des modules

Patrimoine, Contacts, Contrats, Interventions"
"En tant que visiteur, je veux comprendre comment gérer les immeubles et les lots afin d’avoir une vue claire du patrimoine.",Landing Page,Module Patrimoine,,"Présentation fonction

Description du module patrimoine"
"En tant que visiteur, je veux comprendre comment centraliser les contacts afin de faciliter la communication entre les acteurs.",Landing Page,Module Contacts,,"Présentation fonction

Description module contacts"
"En tant que visiteur, je veux comprendre comment suivre les contrats de location afin d’organiser la gestion locative.",Landing Page,Module Contrats,,"Présentation fonction

Description module contrats"
"En tant que visiteur, je veux comprendre comment les interventions sont gérées afin de voir comment les problèmes sont suivis et résolus.",Landing Page,Module Interventions,,"Présentation fonction

Description module interventions"
"En tant que visiteur, je veux connaître les avantages de SEIDO afin de comprendre l’impact sur la gestion immobilière.",Landing Page,Bénéfices,,"Mise en avant valeur

Gain de temps, collaboration, visibilité"
"En tant que visiteur, je veux comparer les fonctionnalités des différentes offres afin de choisir la formule adaptée.",Landing Page,Tarifs,,"Transparence prix

Plans tarifaires"
"En tant que visiteur, je veux comparer les fonctionnalités des différentes offres afin de choisir la formule adaptée.",Landing Page,Tarifs,,"Aide à la décision

Comparatif des plans"
"En tant que visiteur, je veux consulter les questions fréquentes afin d’obtenir rapidement des réponses sur le produit.",Landing Page,FAQ,,"Réduire les questions

Liste FAQ"
"En tant que visiteur, je veux comprendre le fonctionnement de SEIDO, la sécurité et l’utilisation afin de me rassurer avant de m’inscrire.",Landing Page,FAQ,,"Rassurance

Questions sur fonctionnement, sécurité, support"
"En tant que visiteur, je veux pouvoir demander une démonstration ou contacter l’équipe afin de passer à l’étape suivante.",Landing Page,CTA final,,"Conversion

Bouton contact / démo"
"En tant que visiteur, je veux accéder aux informations complémentaires afin de trouver les liens utiles et les informations légales.",Landing Page,Footer ou même autres pages,,"Navigation secondaire

Liens contact, mentions légales"
"En tant qu’utilisateur, je veux me connecter à mon compte afin d’accéder à la plateforme SEIDO",Authentification,Page connexion,,"Accès à l’applicatio

Email + mot de passe ou via SSO"
"En tant qu’utilisateur, je veux voir un message d’erreur si mes identifiants sont incorrects afin de corriger ma connexion.",Authentification,Page connexion,,"Gestion erreurs

Message d’erreur bien clair"
"En tant qu’utilisateur, je veux pouvoir réinitialiser mon mot de passe afin de récupérer l’accès à mon compte.",Authentification,Mot de passe oublié,,"Récupération accès

Lien mot de passe oublié"
"En tant qu’utilisateur, je veux recevoir un email de réinitialisation afin de créer un nouveau mot de passe.",Authentification,Réinitialisation,,"Sécurité

Email reset"
"En tant qu’utilisateur, je veux créer un compte afin d’utiliser la plateforme SEIDO.",Authentification,Création compte,,"Accès nouveau utilisateur

Nom, email, mot de passe"
"En tant qu’utilisateur, je veux confirmer mon adresse email afin d’activer mon compte.",Authentification,Création compte,,"Validation compte

Email confirmation"
"En tant que visiteur, je veux demander une démonstration afin de découvrir la solution SEIDO.",Démo,Page demande démo,,"Génération de leads

Formulaire démo"
"En tant que visiteur, je veux remplir mes informations (nom, email, entreprise) afin d’être contacté pour une démonstration.",Démo,Formulaire démo,,"Collecte d’informations

Nom, email, entreprise, message"
"En tant qu’utilisateur connecté, je veux être redirigé vers le tableau de bord afin d’accéder directement à mes fonctionnalités.",Authentification,Redirection,,"Redirection dashboard

Navigation system"
Je veux voir un résumé global du patrimoine afin d’avoir une vision rapide des immeubles et des lots.,Dashboard,Vue générale,gestionnaire,"Vision globale

Nombre d’immeubles et nombre de lots"
Je veux voir le taux d’occupation afin de comprendre la situation locative des biens.,Dashboard,KPI,gestionnaire,"Suivi occupation

Taux d’occupation des lots"
Je veux voir le nombre de contrats actifs afin de suivre les locations en cours.,Dashboard,KPI,gestionnaire,"Suivi contrats

Nombre de contrats actifs"
Je veux voir le nombre d’interventions en cours afin d’identifier rapidement les problèmes en attente.,Dashboard,KPI,gestionnaire,"Suivi maintenance

Interventions ouvertes"
Je veux voir la liste des interventions en cours afin de suivre leur statut et leur progression.,Dashboard,Interventions,gestionnaire,"Suivi interventions

Liste des interventions actives"
Je veux rechercher ou filtrer les interventions afin de trouver rapidement une intervention spécifique.,Dashboard,Interventions,gestionnaire,"Recherche rapide

Recherche par mot-clé, filtres par statut, immeuble, priorité, plus récent"
Je veux voir les messages non lus dans les interventions afin de répondre rapidement aux locataires ou prestataires.,Dashboard,Discussion (Messages),gestionnaire,"Communication

Messages non lus liés aux interventions"
Je veux voir les dernières activités afin de suivre ce qui se passe sur la plateforme.,Dashboard,Activité récente,gestionnaire,"Suivi activité

Création d’intervention, nouveaux messages, mise à jour de contrats"
Je veux accéder rapidement aux actions principales afin d’ajouter ou importer des données sans naviguer dans plusieurs pages.,Dashboard,Actions rapides,gestionnaire,"Gain de temps

Ajouter immeuble, ajouter lot, créer contrat, créer intervention, importer données"
Je veux voir la liste des immeubles afin d’avoir une vue globale du patrimoine.,Patrimoine,Liste patrimoine,gestionnaire,"Visualisation

Liste des immeubles"
Je veux rechercher ou filtrer les immeubles afin de trouver rapidement un bâtiment spécifique.,Patrimoine,Recherche,gestionnaire,"Recherche rapide

Recherche par nom, filtre"
Je veux ajouter un immeuble afin d’enregistrer un nouveau bâtiment dans le patrimoine.,Patrimoine,Création immeuble,gestionnaire,"Gestion patrimoine

Formulaire création immeuble"
Je veux renseigner les informations générales de l’immeuble afin de définir son identité et sa localisation.,Patrimoine,Création immeuble,gestionnaire,"Structurer les données

Référence, adresse, rue, code postal, ville, pays, description"
Je veux ajouter les lots associés à l’immeuble afin de définir les unités qui composent le bâtiment.,Patrimoine,Création immeuble,gestionnaire,"Structuration des unités

Création des lots dans l’immeuble"
Je veux définir la catégorie du lot afin d’identifier son type d’usage.,Patrimoine,Création lot,gestionnaire,"Classification

Appartement / maison, garage, local commercial, autre"
Je veux renseigner les informations du lot afin de décrire précisément l’unité.,Patrimoine,Création lot,gestionnaire,"Étage, porte / boîte, description du lot"
Je veux associer des contacts à l’immeuble afin d’identifier les personnes liées au bâtiment.,Patrimoine,Contacts immeuble,gestionnaire,"Gestion acteurs

Gestionnaire, prestataires, locataires, autres"
Je veux ajouter des documents à l’immeuble afin de centraliser les documents importants.,Patrimoine,Création immeuble ou lot - Documents immeuble,gestionnaire,"Centralisation documents

Documents recommandés ou autres fichiers"
Je veux définir des suivis techniques recommandés pour l’immeuble afin de suivre la maintenance et les contrôles obligatoires.,Patrimoine,Suivi technique,gestionnaire,"Suivi maintenance

Liste de suivis techniques"
Je veux confirmer la création de l’immeuble afin de valider l’enregistrement dans le système.,Patrimoine,Validation création,gestionnaire,"Validation

Message de confirmation"
Je veux voir les informations d’un immeuble afin de consulter ses caractéristiques et ses lots.,Patrimoine,Détail immeuble,gestionnaire,"Consultation

Informations immeuble"
Je veux modifier les informations d’un immeuble afin de mettre à jour les données du patrimoine.,Patrimoine,Modification immeuble,gestionnaire,"Mise à jour

Modifier les informations"
Je veux voir les lots associés à un immeuble afin de consulter toutes les unités du bâtiment.,Patrimoine,Lots,gestionnaire,"Gestion lots

Liste des lots"
Je veux voir les informations d’un lot afin de consulter les données de l’unité.,Patrimoine,Détail lot,gestionnaire,"Consultation

Informations du lot"
Je veux voir le statut d’occupation d’un lot afin de savoir s’il est occupé ou vacant.,Patrimoine,Statut lot,gestionnaire,"Suivi occupation

Statut du lot"
Je veux archiver un immeuble afin de le retirer du patrimoine actif sans perdre les données.,Patrimoine,Archivage immeuble,gestionnaire,"Gestion historique

Archivage immeuble"
Je veux supprimer un immeuble afin de retirer définitivement un bâtiment du système.,Patrimoine,Suppression immeuble,gestionnaire,"Nettoyage données

Suppression immeuble"
Je veux archiver un lot afin de le retirer des lots actifs tout en conservant son historique.,Patrimoine,Archivage lot,gestionnaire,"Gestion historique

Archivage lot"
Je veux supprimer un lot afin de retirer définitivement une unité du système.,Patrimoine,Suppression lot,gestionnaire,"Nettoyage données

 Suppression lot"
