Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
BNP Paribas Real Estate,BNP PARIBAS REAL ESTATE,100,A,Ixelles,6,Frédéric Van de Putte | Geoffrey Braun | Brieuc Crappe | Bertrand Cotard | Adrien Pacco | Nino Hadzic,+3226464949,name@domain.com,+3226464949 | +3222905959,name@domain.com,+3222905959 | +32474614134 | +32460950600,geoffrey.braun@bnpparibas.com | brieuc.crappe@realestate.bnpparibas | bertrand.cotard@bnpparibas.com | adrien.pacco@realestate.bnpparibas,+32474614134,frederic.vandeputte@bnpparibas.com | geoffrey.braun@bnpparibas.com | brieuc.crappe@realestate.bnpparibas | bertrand.cotard@bnpparibas.com | adrien.pacco@realestate.bnpparibas,https://www.realestate.bnpparibas.be,https://www.google.com/maps/search/BNP%20Paribas%20Real%20Estate%20Ixelles,3.5,25,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,50,20,30,500,0422.118.165,SA,1982-01-01,difficulté à contacter le syndic; manque de suivi en ligne; communication,Vos clients mentionnent difficulté à contacter le syndic — comment gerez-vous le suivi des demandes aujourd'hui ?
GGG Real Estate,GGG REAL ESTATE,100,A,Uccle,3,Jimmy Plasschaert | Fréderic Jouret | Gregory Versteegen,+3247624126,info@ggg-sa.be,+3247624126 | +3223473324,info@ggg-sa.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,+3223473324 | +32478303328,info@ggg-sa.be | fj@ggg-sa.be,+32478303328,info@ggg-sa.be | Fj@ggg-sa.be,https://www.ggg-sa.be,https://www.google.com/maps/search/GGG%20Real%20Estate%20Uccle,3.5,13,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,10,5,5,40,0847.477.716,SA,2012-01-01,comptabilité catastrophique; erreurs relevés; personnel injoignable; fournisseurs impayés; charges sans accord,Vos clients mentionnent comptabilité catastrophique — comment gerez-vous le suivi des demandes aujourd'hui ?
Immo JPL,IMMO JPL,100,A,Uccle,2,Thierry Elseneer | Céline Dubois,+3223431840,info@immo-jpl.be,+3223431840,info@immo-jpl.be,+3223431840,info@immo-jpl.be,,info@immo-jpl.be | celine.dubois@immo-jpl.be,https://www.immo-jpl.be,https://www.google.com/maps/search/Immo%20JPL%20Uccle,2.9,15,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,15,8,7,40,0471.756.332,SRL,1981-01-01,service variable,Vos clients mentionnent service variable — comment gerez-vous le suivi des demandes aujourd'hui ?
immo gestion syndic,IMMO GESTION SYNDIC,98,A,Uccle,4,Jérôme Meganck | Laura Lequeux | Kevin Duwyn | Christophe Decauwers,,info@igsyndic.be,,info@igsyndic.be,+3223854246,ll@igsyndic.be | info@igsyndic.be,+3223854246,jm@igsyndic.be | ll@igsyndic.be | info@igsyndic.be,https://www.igsyndic.be,https://www.google.com/maps/search/immo%20gestion%20syndic%20Uccle,3,12,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,immomig,5,3,2,116,0507.740.065,SRL,2014-12-24,communication médiocre avec copropriétaires; gestion pitoyable; prétentieux,Vos clients mentionnent communication médiocre avec copropriétaires — comment gerez-vous le suivi des demandes aujourd'hui ?
ADAL SRL,ADAL,98,A,Woluwe-Saint-Lambert,2,Grégory Sohier | Thomas Mouton,+32460476047,info@adal.immo,+32460476047,info@adal.immo,+3222168484,thomas@adal.immo,,info@adal.immo | thomas@adal.immo,https://adal.immo/,https://www.google.com/maps/search/ADAL%20SRL%20Woluwe-Saint-Lambert,4,20,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,immoweb,10,5,5,100,0403.359.949,SRL,1969-06-16,retards AG; retards convocations; emails sans réponse pendant des mois,Vos clients mentionnent retards AG — comment gerez-vous le suivi des demandes aujourd'hui ?
Syndia,SYNDIA,95,A,Liège,2,Christophe Thilmany | Thibaut Hardy,+3243250505,info@syndia.eu,+3243250505 | +3243250509 | +3224250505 | +3287890350,info@syndia.eu,+3243250505,c.thilmany@syndia.eu | info@syndia.eu,,c.thilmany@syndia.eu | info@syndia.eu,https://www.syndia.eu,https://www.google.com/maps/search/Syndia%20Li%C3%A8ge,4.5,21,"Gestion locative, Syndic, Location",Oui,Oui,Non,Oui,Non,,,,,80,0681.688.680,SRL,2017-01-01,arrogance signalée; dédain,Vos clients mentionnent arrogance signalée — comment gerez-vous le suivi des demandes aujourd'hui ?
BUREAU JdB,BUREAU JDB,95,A,Ixelles,1,Thomas Braun de Ter Meeren,,info@bureau-jdb.be,,info@bureau-jdb.be | info@ipi.be,+3226737961,info@bureau-jdb.be,,info@bureau-jdb.be,https://www.bureau-jdb.be,https://www.google.com/maps/search/BUREAU%20JdB%20Ixelles,3.8,15,"Gestion locative, Syndic, Commercial",Oui,Oui,Non,Non,Oui,,,,,30,0430.150.953,SRL,1991-01-01,semaines sans réponse emails; documents mauvais appartement,Vos clients mentionnent semaines sans réponse emails — comment gerez-vous le suivi des demandes aujourd'hui ?
Managim / Homeland,MANAGIM HOMELAND,95,A,Woluwe-Saint-Lambert,1,Christophe Ypersiel,+3227710195,commercial@homeland.immo,+3227710195,commercial@homeland.immo | info@ipi.be,+3227700195,cypersiel@homeland.immo,,cypersiel@homeland.immo,https://www.homeland.immo/be-en,https://www.google.com/maps/search/Managim%20%2F%20Homeland%20Woluwe-Saint-Lambert,2.5,40,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,5,3,2,67,,SRL,1983-01-01,communication difficile; réponses tardives; erreurs comptabilité; manque transparence; facturation incorrecte; menaces envers copropriétaires,Vos clients mentionnent communication difficile — comment gerez-vous le suivi des demandes aujourd'hui ?
EXPERTISSIMMO,EXPERTISSIMMO,93,A,Woluwe-Saint-Lambert,12,Laurent Van Isterdael | Maxime Vanobberghen | Nathalie Van Cauter | Frédéric Vehent | Julien Vanobberghen | Gibril Legrand | Thibault Duphénieux | Gaëtan Lonchay | Gaelle Bahier | Sacha Daems | Sacha Verschueren | Paul Delecourt,+3227366792,info@expertissimmo.eu,+3227366792 | +32474429077 | +3227321710 | +3227337626 | +3226468810,info@expertissimmo.eu | wsp@expertissimmo.eu | sch@expertissimmo.eu | plasky@expertissimmo.eu,+32479930084 | +3227366792 | +32490440806,laurent@expertissimmo.eu | maxime@expertissimmo.eu | info@expertissimmo.eu | julien@expertissimmo.eu | arnaud@expertissimmo.eu | sd@expertissimmo.eu,+32479930084,laurent@expertissimmo.eu | maxime@expertissimmo.eu | info@expertissimmo.eu | frederic@expertissimmo.eu | julien@expertissimmo.eu | arnaud@expertissimmo.eu | thibault@expertissimmo.eu | sd@expertissimmo.eu,https://www.expertissimmo.eu,https://www.google.com/maps/search/EXPERTISSIMMO%20Woluwe-Saint-Lambert,4.7,816,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,whise,120,40,80,200,0474.429.077,SRL,2001-03-22,réactivité agent variable; engagement parfois insuffisant,Vos clients mentionnent réactivité agent variable — comment gerez-vous le suivi des demandes aujourd'hui ?
BE-SYNDIC,BESYNDIC,92,A,Etterbeek,5,Jacqueline Lambert | Khalil Najit | Adriana Anton | Bilal Assbai | François Hoc,+3224769504,info@be-syndic.be,+3224769504,info@be-syndic.be,+3224769504,lambert.j@be-syndic.be | info@be-syndic.be,,lambert.j@be-syndic.be | info@be-syndic.be,https://www.be-syndic.be/,https://www.google.com/maps/search/BE-SYNDIC%20Etterbeek,3.8,38,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,30,,SRL,2010-01-01,ne répond pas sans relances; ne visite pas les immeubles; devis envoyés au mauvais immeuble; comptabilité initiale incorrecte,Vos clients mentionnent ne répond pas sans relances — comment gerez-vous le suivi des demandes aujourd'hui ?
