User story,Description / Objectif,Module,Section,Type d’utilisateur
"En tant que visiteur, je veux comprendre rapidement ce qu’est SEIDO afin de savoir si la solution correspond à mon besoin.","Compréhension rapide du produit :

Titre + slogan + description courte",Landing Page,Hero,
"En tant que visiteur, je veux pouvoir demander une démonstration afin de découvrir la solution plus en détail.","Conversion :  CTA bouton

Bouton “Demander une démo”",Landing Page,Hero,
"En tant que visiteur, je veux comprendre le problème que SEIDO résout afin de voir la valeur de la solution.","Mise en contexte

Texte expliquant les difficultés de gestion immobilière",Landing Page,Présentation produit,
"En tant que visiteur, je veux comprendre comment SEIDO simplifie la gestion immobilière afin de voir les bénéfices de la plateforme.","Présentation de la solution

Explication de la plateforme",Landing Page,Solution,
"En tant que visiteur, je veux découvrir les fonctionnalités principales afin de comprendre ce que la plateforme permet de faire.","Présentation des modules

Patrimoine, Contacts, Contrats, Interventions",Landing Page,Modules,
"En tant que visiteur, je veux comprendre comment gérer les immeubles et les lots afin d’avoir une vue claire du patrimoine.","Présentation fonction

Description du module patrimoine",Landing Page,Module Patrimoine,
"En tant que visiteur, je veux comprendre comment centraliser les contacts afin de faciliter la communication entre les acteurs.","Présentation fonction

Description module contacts",Landing Page,Module Contacts,
"En tant que visiteur, je veux comprendre comment suivre les contrats de location afin d’organiser la gestion locative.","Présentation fonction

Description module contrats",Landing Page,Module Contrats,
"En tant que visiteur, je veux comprendre comment les interventions sont gérées afin de voir comment les problèmes sont suivis et résolus.","Présentation fonction

Description module interventions",Landing Page,Module Interventions,
"En tant que visiteur, je veux connaître les avantages de SEIDO afin de comprendre l’impact sur la gestion immobilière.","Mise en avant valeur

Gain de temps, collaboration, visibilité",Landing Page,Bénéfices,
"En tant que visiteur, je veux comparer les fonctionnalités des différentes offres afin de choisir la formule adaptée.","Transparence prix

Plans tarifaires",Landing Page,Tarifs,
"En tant que visiteur, je veux comparer les fonctionnalités des différentes offres afin de choisir la formule adaptée.","Aide à la décision

Comparatif des plans",Landing Page,Tarifs,
"En tant que visiteur, je veux consulter les questions fréquentes afin d’obtenir rapidement des réponses sur le produit.","Réduire les questions

Liste FAQ",Landing Page,FAQ,
"En tant que visiteur, je veux comprendre le fonctionnement de SEIDO, la sécurité et l’utilisation afin de me rassurer avant de m’inscrire.","Rassurance

Questions sur fonctionnement, sécurité, support",Landing Page,FAQ,
"En tant que visiteur, je veux pouvoir demander une démonstration ou contacter l’équipe afin de passer à l’étape suivante.","Conversion

Bouton contact / démo",Landing Page,CTA final,
"En tant que visiteur, je veux accéder aux informations complémentaires afin de trouver les liens utiles et les informations légales.","Navigation secondaire

Liens contact, mentions légales",Landing Page,Footer ou même autres pages,
"En tant qu’utilisateur, je veux me connecter à mon compte afin d’accéder à la plateforme SEIDO","Accès à l’applicatio

Email + mot de passe ou via SSO",Authentification,Page connexion,
"En tant qu’utilisateur, je veux voir un message d’erreur si mes identifiants sont incorrects afin de corriger ma connexion.","Gestion erreurs

Message d’erreur bien clair",Authentification,Page connexion,
